[2025-02-02T20:39:20.197+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-02-02T20:39:20.214+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: flights_pipeline.load_data_into_duckdb manual__2025-02-02T20:39:13.519752+00:00 [queued]>
[2025-02-02T20:39:20.222+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: flights_pipeline.load_data_into_duckdb manual__2025-02-02T20:39:13.519752+00:00 [queued]>
[2025-02-02T20:39:20.224+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 2
[2025-02-02T20:39:20.238+0000] {taskinstance.py:2879} INFO - Executing <Task(_PythonDecoratedOperator): load_data_into_duckdb> on 2025-02-02 20:39:13.519752+00:00
[2025-02-02T20:39:20.244+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=3550) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-02-02T20:39:20.246+0000] {standard_task_runner.py:72} INFO - Started process 3582 to run task
[2025-02-02T20:39:24.615+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'c81ddb', 'callsign': 'ZKMNT   ', 'origin_country': 'New Zealand', 'time_position': None, 'last_contact': 1738528755, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 4.89, 'true_track': 255.94, 'vertical_rate': None, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:24.637+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a621f8', 'callsign': 'N49447  ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528719, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 22.73, 'true_track': 185.19, 'vertical_rate': -2.28, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:24.670+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '899094', 'callsign': '', 'origin_country': 'Taiwan', 'time_position': None, 'last_contact': 1738528724, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 161.21, 'true_track': 229.14, 'vertical_rate': -3.58, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:24.765+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '76cce2', 'callsign': '', 'origin_country': 'Singapore', 'time_position': None, 'last_contact': 1738528754, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 270.58, 'true_track': 49.01, 'vertical_rate': 0, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:24.912+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'acaf82', 'callsign': 'N9161T  ', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528752, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 29.69, 'true_track': 171.03, 'vertical_rate': 3.25, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:24.928+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a4a808', 'callsign': '', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528755, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 73.41, 'true_track': 152, 'vertical_rate': 12.03, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:24.967+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '7c671d', 'callsign': 'UNJ     ', 'origin_country': 'Australia', 'time_position': None, 'last_contact': 1738528740, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 0, 'true_track': 208.12, 'vertical_rate': None, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:25.047+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': 'a4eeed', 'callsign': '', 'origin_country': 'United States', 'time_position': None, 'last_contact': 1738528476, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 5.92, 'true_track': 300.94, 'vertical_rate': None, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
[2025-02-02T20:39:25.103+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '3c83e9', 'callsign': 'TXLU11  ', 'origin_country': 'Germany', 'time_position': None, 'last_contact': 1738528746, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 8.23, 'true_track': 0, 'vertical_rate': None, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 1}
[2025-02-02T20:39:25.312+0000] {logging_mixin.py:190} INFO - Ligne ignorée (time_position manquant): {'icao24': '7c4e49', 'callsign': 'POL22   ', 'origin_country': 'Australia', 'time_position': None, 'last_contact': 1738528628, 'longitude': None, 'latitude': None, 'baro_altitude': None, 'on_ground': False, 'velocity': 77.12, 'true_track': 135, 'vertical_rate': 0, 'sensors': None, 'geo_altitude': None, 'squawk': None, 'spi': False, 'position_source': 0, 'category': 0}
